siren;name;codeNAF;employeesCategory;address;position
005420120;SOCIETE DES SUCRERIES DU MARQUENTERRE;70.10Z;03;12 ROUTE DE MONTREUIL, 62180 RANG-DU-FLIERS;[2.3522,48.8566]
005420120;SOCIETE DES SUCRERIES DU MARQUENTERRE;70.10Z;03;ROUTE NATIONALE, 62140 MARCONNELLE;[2.3522,48.8566]
005420120;SOCIETE DES SUCRERIES DU MARQUENTERRE;70.10Z;03;RUE DE LA GARE, 62180 CONCHIL-LE-TEMPLE;[2.3522,48.8566]
005420146;MESDAMES HARREAU ET MARTY;64.12;;PL DU GENERAL LECLERC, 80120 RUE;[2.3522,48.8566]
005420153;CARRE PERE ET FILS;58.12;;RUE MARECHAL FOCH, 80100 ABBEVILLE;[2.3522,48.8566]
005420187;GRANDCOLIN ET FILS;38.40;;CHS D HOCQUET, 80100 ABBEVILLE;[2.3522,48.8566]
005420195;SA DENNETIERE;51.2A;;AU CHEMIN DE LA RIVIERE, 80140 RAMBURES;[2.3522,48.8566]
005420245;RELAIS VAUBAN;81.21;;2 BOULEVARD VAUBAN, 80100 ABBEVILLE;[2.3522,48.8566]
005420260;SOCIETE ANONYME MILBLED;20.01;;RUE JOLIOT CURIE, 80570 DARGNIES;[2.3522,48.8566]
005420278;ETABLISSEMENTS LEON ALLOT ET FILS;44.33;;, 80270 ALLERY;[2.3522,48.8566]
005440011;;68.20B;;AVENUE DE VERDUN, 04000 DIGNE-LES-BAINS;[2.3522,48.8566]
005440078;;62.11;;, 04370 COLMARS;[2.3522,48.8566]
005440110;;68.20B;;COURS PECHINEY, 04600 CHATEAU-ARNOUX-SAINT-AUBAN;[2.3522,48.8566]
005440110;;68.20B;;13 BOULEVARD GASSENDI, 04000 DIGNE-LES-BAINS;[2.3522,48.8566]
005440110;;68.20B;;6 RUE FIRMIN GUICHARD, 04000 DIGNE-LES-BAINS;[2.3522,48.8566]
005440136;;67.09;;, 04500 QUINSON;[2.3522,48.8566]
005440185;;52.1B;;, 04250 TURRIERS;[2.3522,48.8566]
005440219;;00.97;;, 04210 VALENSOLE;[2.3522,48.8566]
005440235;;60.01;;, 04170 THORAME-BASSE;[2.3522,48.8566]
005440409;;64.46;;RUE CHAPUZIE, 04200 SISTERON;[2.3522,48.8566]
005440508;;57.08;;RTE NEUVE, 04160 CHATEAU ARNOUX SAINT AUBAN;[2.3522,48.8566]
005440557;;00.97;;PLACE DES RECOLLETS, 04000 DIGNE-LES-BAINS;[2.3522,48.8566]
005440565;;68.20B;;PLACE DU GENERAL DE GAULLE, 04200 SISTERON;[2.3522,48.8566]
005440649;;62.11;;RUE LOGIS, 04800 SAINT-MARTIN-DE-BROMES;[2.3522,48.8566]
005440672;;00.97;;, 04120 CASTELLANE;[2.3522,48.8566]
005440698;;67.07;;, 04370 COLMARS;[2.3522,48.8566]
005440722;;00.10;;, 04120 CASTELLANE;[2.3522,48.8566]
005440755;;64.11;;, 04190 LES MEES;[2.3522,48.8566]
005440789;;62.11;;, 04530 LA CONDAMINE-CHATELARD;[2.3522,48.8566]
005440797;;60.07;;, 04700 ORAISON;[2.3522,48.8566]
005440813;;67.01;;LE FOREST DE BAYONS, 04250 LA MOTTE-DU-CAIRE;[2.3522,48.8566]
005440847;;69.22;;, 04140 VERDACHES;[2.3522,48.8566]
005440904;;00.97;;HAM LES BAUMES, 04200 MISON;[2.3522,48.8566]
005440938;;01.80;;, 04200 MISON;[2.3522,48.8566]
005440987;;00.97;;, 04500 MONTAGNAC-MONTPEZAT;[2.3522,48.8566]
005441027;;00.97;;RUE NEUVE, 04140 SEYNE;[2.3522,48.8566]
005441035;;52.1B;;18 RUE PIED DE VILLE, 04000 DIGNE-LES-BAINS;[2.3522,48.8566]
005441043;;68.20B;;5 BOULEVARD VICTOR HUGO, 04000 DIGNE-LES-BAINS;[2.3522,48.8566]
005441068;;38.40;;RUE LT BLONDEAU, 04120 CASTELLANE;[2.3522,48.8566]
005441134;;52.1J;;42 RUE MANUEL, 04400 BARCELONNETTE;[2.3522,48.8566]
005441159;;00.97;;QUAI SAINT AUBAN, 04160 CHATEAU-ARNOUX-SAINT-AUBAN;[2.3522,48.8566]
005441191;;62.41;;ALLEE DES ERABLES, 04160 CHATEAU-ARNOUX-SAINT-AUBAN;[2.3522,48.8566]
005441233;;67.04;;, 04370 COLMARS;[2.3522,48.8566]
005441241;;69.11;;QUAI PLANTIERS, 04200 SISTERON;[2.3522,48.8566]
005441266;;00.97;;, 04270 ESTOUBLON;[2.3522,48.8566]
005441316;;38.50;;, 04240 ANNOT;[2.3522,48.8566]
005441357;;00.97;;, 04190 LES MEES;[2.3522,48.8566]
005441365;;58.11;;4 PL DU MARCHE, 04000 DIGNE-LES-BAINS;[2.3522,48.8566]
005441373;;64.49;;, 04360 MOUSTIERS-SAINTE-MARIE;[2.3522,48.8566]
005441399;;69.12;;, 04170 LA MURE-ARGENS;[2.3522,48.8566]
005441407;;93.0D;;RUE BASSE, 04140 SEYNE;[2.3522,48.8566]
005441449;;00.97;;, 04800 GREOUX-LES-BAINS;[2.3522,48.8566]
005441548;;64.49;;39 RUE DE L'HUBAC, 04000 DIGNE-LES-BAINS;[2.3522,48.8566]
005441589;;59.08;;PL DR ITARD, 04700 ORAISON;[2.3522,48.8566]
005441597;;64.45;;BOULEVARD GASSENDI, 04000 DIGNE-LES-BAINS;[2.3522,48.8566]
005441613;;62.44;;, 04160 CHATEAU-ARNOUX-SAINT-AUBAN;[2.3522,48.8566]
005441621;;00.97;;, 04700 PUIMICHEL;[2.3522,48.8566]
005441662;;62.11;;PLACE DU MARCHE, 04210 VALENSOLE;[2.3522,48.8566]
005450010;SOCIETE ALPINE DE TRAVAUX PUBLICS;00.97;;, 04160 CHATEAU-ARNOUX-SAINT-AUBAN;[2.3522,48.8566]
005450051;TOTAL CIE FRSE DISTRIBUTION;00.97;;QUAI DE LA BONNETTE, 04000 DIGNE-LES-BAINS;[2.3522,48.8566]
005450093;BASALPINE AUTOCARS;77.11A;;5 ALL L GARDIOL, 04500 RIEZ;[2.3522,48.8566]
005450093;BASALPINE AUTOCARS;77.11A;;QUAI STE ANNE, 04500 RIEZ;[2.3522,48.8566]
005450093;BASALPINE AUTOCARS;77.11A;;AVENUE DES THERMES, 04800 GREOUX-LES-BAINS;[2.3522,48.8566]
005450093;BASALPINE AUTOCARS;77.11A;;36 RUE GRANDE, 04800 GREOUX-LES-BAINS;[2.3522,48.8566]
005450093;BASALPINE AUTOCARS;77.11A;;27 RUE GRANDE, 04800 GREOUX-LES-BAINS;[2.3522,48.8566]
005450101;SOC EXPLOIT PLATEAU VALENSOLE;18.11;;4 BD LA FERRAGE, 13860 PEYROLLES-EN-PROVENCE;[2.3522,48.8566]
005450119;LE GRAND CAFE ET GASSENDI;56.30Z;;63 BD GASSENDI, 04000 DIGNE-LES-BAINS;[2.3522,48.8566]
005450119;LE GRAND CAFE ET GASSENDI;56.30Z;;SAINT CHRISTOPHE, 04000 DIGNE-LES-BAINS;[2.3522,48.8566]
005450119;LE GRAND CAFE ET GASSENDI;56.30Z;;3 BD GASSENDI, 04000 DIGNE-LES-BAINS;[2.3522,48.8566]
005470018;;55.40;;AVENUE DU MARCHE, 44500 LA BAULE-ESCOUBLAC;[2.3522,48.8566]
005470075;;67.08;;13 RUE DU CENTRE, 44510 LE POULIGUEN;[2.3522,48.8566]
005470190;;69.12;;RUE DE KERVENEL, 44490 LE CROISIC;[2.3522,48.8566]
005470208;;64.11;;105 AVENUE DE LA REPUBLIQUE, 44600 SAINT-NAZAIRE;[2.3522,48.8566]
005470430;;62.43;;2 RUE CHARLES BRUNELIERE, 44570 TRIGNAC;[2.3522,48.8566]
005470455;;62.41;;LD LA BOSSE, 44500 LA BAULE-ESCOUBLAC;[2.3522,48.8566]
005470489;;86.06;;LD LE PONT DENYON, 44480 DONGES;[2.3522,48.8566]
005470620;;55.4B;;17 RUE DES CHANTIERS, 44600 SAINT-NAZAIRE;[2.3522,48.8566]
005470653;;52.1B;;23 BOULEVARD LEON GAMBETTA, 44600 SAINT-NAZAIRE;[2.3522,48.8566]
005470927;;64.14;;AVENUE DE LA FORET, 44300 NANTES;[2.3522,48.8566]
005470943;;58.03;;, 44130 BLAIN;[2.3522,48.8566]
005470984;;40.32;;AVENUE DE VERA CRUZ, 44600 SAINT-NAZAIRE;[2.3522,48.8566]
005471065;AUDIGER JEAN JOSEPH INDIVISION;67.04;;1 PL DU GENERAL D ARGENCE, 44410 HERBIGNAC;[2.3522,48.8566]
005471115;;64.11;;45 RUE DE LA PAIX ET DES ARTS, 44600 SAINT-NAZAIRE;[2.3522,48.8566]
005471214;;64.11;;8 PLACE DE L’HOTEL DE VILLE, 44260 SAVENAY;[2.3522,48.8566]
